"","probability_of_goal","is_goal","matchId","lastName","eventSec","angle","x","y","is_through","is_counter","preceding_pass","rank"
"4111",0.96970371170775,1,2500026,"Gabbiadini",1621.981389,146.98959950254,99,51,0,0,"Ground loose ball duel",1
"4777",0.960048630492285,1,2500080,"Aubameyang",827.211601,146.98959950254,99,51,0,0,"Cross",2
"129",0.954106658148625,1,2499727,"Britos Cabrera",2879.337836,143.648412109073,99,52,0,0,"Ground loose ball duel",3
"934",0.954106658148625,1,2499787,"Evans",1258.115705,143.648412109073,99,52,0,0,"Air duel",4
"1948",0.954106658148625,1,2499865,"Otamendi",677.338249,143.648412109073,99,52,0,0,"Cross",5
"1879",0.904882994089128,0,2499860,"Lacazette",1153.277437,119.006732036974,98,51,0,0,"Ground loose ball duel",6
"930",0.888421112466076,1,2499786,"Crouch",2354.384901,114.90170242643,98,48,0,0,"Simple pass",7
"4019",0.883137113721652,1,2500019,"Rodriguez",220.588472,120.308136100625,98,50,0,0,"Ground attacking duel",8
"4310",0.883137113721652,0,2500040,"Tackie Mensah Welbeck",1969.954398,120.308136100625,98,50,0,0,"Simple pass",9
"1722",0.877186587400274,1,2499848,"Kouyat\u00e9",2652.893624,119.006732036974,98,51,0,0,"Air duel",10
"1891",0.877186587400274,1,2499860,"Lingard",1046.976404,119.006732036974,98,49,0,0,"Simple pass",11
"3690",0.877186587400274,1,2499995,"Can",1733.050651,119.006732036974,98,49,0,0,"Air duel",12
"4021",0.877186587400274,0,2500019,"Phillips",3109.666465,119.006732036974,98,51,0,0,"Cross",13
"4548",0.877186587400274,0,2500060,"Kouyat\u00e9",942.198968,119.006732036974,98,51,0,0,"Air duel",14
"629",0.856690443838428,0,2499763,"Solanke",2406.016225,114.90170242643,98,48,0,0,"Cross",15
"755",0.856690443838428,1,2499773,"Okazaki",2859.850126,114.90170242643,98,48,0,0,"Ground attacking duel",16
"2203",0.856690443838428,1,2499885,"Rooney",1575.013886,114.90170242643,98,48,0,0,"Ground loose ball duel",17
"4701",0.856690443838428,0,2500074,"Gayle",2693.221986,114.90170242643,98,52,0,0,"Air duel",18
"4764",0.856690443838428,0,2500079,"Dyer",688.82135,114.90170242643,98,48,0,0,"Ground defending duel",19
"4944",0.856690443838428,1,2500094,"P\u00e9rez Guti\u00e9rrez",1064.378586,114.90170242643,98,48,0,0,"Cross",20
"4174",0.816175855823749,1,2500030,"Vardy",3010.114257,80.3388172727015,97,46,0,1,"Cross",21
"747",0.812113392389756,0,2499772,"Niasse",2161.7493,107.422761208939,98,47,0,0,"Air duel",22
"1351",0.796802440106434,1,2499820,"Niasse",1278.233091,98.5657569304922,97,50,0,0,"Ground defending duel",23
"1838",0.796802440106434,0,2499857,"Yoshida",2025.107358,98.5657569304922,97,50,0,0,"Air duel",24
"4647",0.796802440106434,0,2500069,"Cork",1414.509126,98.5657569304922,97,50,0,0,"Ground loose ball duel",25
"1328",0.788778398356392,1,2499818,"Sterling",1137.970608,97.4390670095849,97,49,0,0,"Cross",26
"4364",0.777409407300062,1,2500044,"Vardy",2287.119097,95.8950520085728,98,46,0,0,"Air duel",27
"4380",0.763083767311654,0,2500045,"Sterling",2674.771508,94.0275149230624,97,48,0,0,"Simple pass",28
"2052",0.763083767311654,1,2499873,"Jim\u00e9nez Silva",2542.586487,94.0275149230624,97,52,0,0,"Air duel",29
"2614",0.763083767311654,0,2499914,"Lingard",300.157575,94.0275149230624,97,52,0,0,"Cross",30
"2635",0.746453045095931,1,2499916,"Kane",1276.523291,98.5657569304922,97,50,0,0,"Air duel",31
"4309",0.746453045095931,1,2500040,"Austin",1701.660221,98.5657569304922,97,50,0,0,"Cross",32
"4602",0.746453045095931,1,2500065,"Sterling",950.643423,98.5657569304922,97,50,0,0,"Cross",33
"898",0.737096778350928,1,2499784,"Fellaini-Bakkioui",182.965918,97.4390670095849,97,51,0,0,"Air duel",34
"2258",0.737096778350928,1,2499889,"Lovren",1508.661024,97.4390670095849,97,49,0,0,"Simple pass",35
"4468",0.737096778350928,1,2500053,"Rodriguez",1635.476149,97.4390670095849,97,49,0,0,"Air duel",36
"2537",0.723919670894153,1,2499909,"Arnautovi\u0107",2590.956101,95.8950520085728,98,46,0,0,"Ground loose ball duel",37
"3088",0.723919670894153,1,2499949,"Koscielny",763.0927,95.8950520085728,98,46,0,0,"Cross",38
"4429",0.723919670894153,1,2500050,"Murray",1044.011533,95.8950520085728,98,46,0,0,"Air duel",39
"4293",0.723919670894152,1,2500039,"King",2608.013016,95.8950520085728,98,54,0,0,"Air duel",40
"2316",0.715222026976853,1,2499893,"Fer",2091.019679,88.2896857220538,97,47,0,0,"Air duel",41
